,Problem
0,Generate Parentheses
1,LRU Cache
2,Second Highest Salary
3,Reverse Linked List
4,First Unique Character in a String
5,Number of Distinct Islands
6,Middle of the Linked List
7,Count Subarrays With Fixed Bounds
