,Problem
0,Combination Sum
1,Combination Sum II
2,Text Justification
3,Minimum Window Substring
4,Intersection of Two Linked Lists
5,Word Search II
6,Flatten 2D Vector
7,Alien Dictionary
8,Coin Change
9,Palindrome Pairs
10,Pour Water
11,Sliding Puzzle
12,Cheapest Flights Within K Stops
13,Shortest Path to Get All Keys
14,Smallest Common Region
15,Maximum Profit in Job Scheduling
