,Problem
0,Letter Combinations of a Phone Number
1,Next Permutation
2,First Missing Positive
3,Maximum Subarray
4,Triangle
5,Best Time to Buy and Sell Stock
6,Product of Array Except Self
7,Insert Delete GetRandom O(1)
8,Max Area of Island
9,Binary Tree Cameras
10,Minimum Cost to Merge Stones
11,Max Consecutive Ones III
12,Pairs of Songs With Total Durations Divisible by 60
13,Get the Maximum Score
