,Problem
0,Set Matrix Zeroes
1,Binary Tree Maximum Path Sum
2,Count of Smaller Numbers After Self
3,Longest Increasing Path in a Matrix
4,Count Binary Substrings
5,Magnetic Force Between Two Balls
