,Problem
0,Spiral Matrix
1,Word Ladder II
2,Perfect Squares
3,Max Sum of Rectangle No Larger Than K
4,Arithmetic Slices II - Subsequence
5,01 Matrix
6,Sum of Subarray Minimums
