,Problem
0,Median of Two Sorted Arrays
1,Group Anagrams
2,Coin Change
3,Minimum Moves to Equal Array Elements
4,Beautiful Arrangement
5,Subarray Sum Equals K
6,Degree of an Array
7,Jump Game VI
