,Problem
0,Merge Intervals
1,LRU Cache
2,Maximal Square
3,First Unique Character in a String
4,Pairs of Songs With Total Durations Divisible by 60
5,Minimum Absolute Difference
6,Time Needed to Rearrange a Binary String
