,Problem
0,Median of Two Sorted Arrays
1,Number of Islands
2,Bulls and Cows
3,Top K Frequent Elements
4,Minimum Cost to Hire K Workers
5,Koko Eating Bananas
6,Broken Calculator
7,Maximum Length of Subarray With Positive Product
8,Remove All Occurrences of a Substring
