,Problem
0,Valid Sudoku
1,Word Search
2,Valid Palindrome
3,Course Schedule
4,Add Strings
5,Max Chunks To Make Sorted II
6,Subdomain Visit Count
7,Last Person to Fit in the Bus
8,Alert Using Same Key-Card Three or More Times in a One Hour Period
9,The Number of Full Rounds You Have Played
