,Problem
0,Integer to Roman
1,Permutations
2,Best Time to Buy and Sell Stock
3,Best Time to Buy and Sell Stock II
4,Best Time to Buy and Sell Stock III
5,Sliding Window Maximum
6,Range Addition
7,The Maze
8,Subarray Sum Equals K
9,Design In-Memory File System
10,Transpose Matrix
11,Smallest Range II
12,Subarray Sums Divisible by K
13,Minimum Costs Using the Train Line
