,Problem
0,Design Snake Game
1,Top K Frequent Words
2,Count Different Palindromic Subsequences
3,Set Intersection Size At Least Two
4,Find the City With the Smallest Number of Neighbors at a Threshold Distance
5,Rank Teams by Votes
6,Count Palindromic Subsequences
