,Problem
0,Next Permutation
1,Find First and Last Position of Element in Sorted Array
2,Valid Sudoku
3,Trapping Rain Water
4,Merge Intervals
5,Unique Paths II
6,Word Ladder
7,Longest Consecutive Sequence
8,Word Break
9,Binary Tree Right Side View
10,Shortest Distance from All Buildings
11,Insert Delete GetRandom O(1)
12,First Unique Character in a String
13,Decode String
14,Degree of an Array
15,Flood Fill
16,Minimum Number of Steps to Make Two Strings Anagram
17,Detonate the Maximum Bombs
